"","rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","affairs2"
"2",5,0,"female",27,4,"no",4,14,6,4,"No"
"11",50,0,"male",37,15,"yes",2,20,7,2,"No"
"14",80,0,"female",22,1.5,"no",2,17,5,4,"No"
"15",86,0,"female",27,4,"no",4,14,5,4,"No"
"19",115,0,"female",22,1.5,"no",2,16,5,5,"No"
"21",123,0,"female",22,1.5,"no",2,16,5,5,"No"
"22",127,0,"female",22,1.5,"no",2,16,5,5,"No"
"26",139,0,"female",22,1.5,"no",2,18,5,5,"No"
"28",151,0,"male",42,15,"yes",5,20,6,4,"No"
"30",155,0,"female",27,4,"yes",3,17,5,4,"No"
"34",168,0,"female",42,15,"yes",5,14,5,4,"No"
"37",184,0,"female",42,15,"yes",3,12,1,4,"No"
"42",217,0,"male",52,15,"yes",5,18,6,3,"No"
"44",224,0,"female",27,4,"yes",2,18,6,1,"No"
"45",227,0,"female",32,7,"yes",5,17,5,3,"No"
"47",239,0,"female",27,7,"yes",4,18,6,5,"No"
"60",295,0,"male",32,10,"yes",4,20,6,4,"No"
"63",321,0,"female",22,0.75,"no",2,16,5,5,"No"
"66",351,0,"male",42,15,"yes",2,17,3,5,"No"
"92",478,0,"male",37,10,"yes",2,14,5,3,"No"
"93",482,0,"male",37,10,"yes",4,16,5,4,"No"
"103",515,0,"female",22,0.125,"no",4,12,4,5,"No"
"104",517,0,"male",57,15,"yes",5,20,6,5,"No"
"110",543,0,"female",22,1.5,"no",2,14,5,4,"No"
"118",594,0,"male",32,10,"no",5,18,6,4,"No"
"125",621,0,"female",22,1.5,"no",3,16,5,5,"No"
"126",627,0,"male",37,15,"yes",5,20,6,5,"No"
"129",632,0,"male",32,1.5,"no",2,18,6,5,"No"
"132",647,0,"male",42,15,"yes",4,18,6,5,"No"
"133",648,0,"female",27,1.5,"no",2,16,6,5,"No"
"135",655,0,"female",32,10,"yes",3,14,5,3,"No"
"144",717,0,"male",52,15,"yes",2,18,5,4,"No"
"146",723,0,"male",37,4,"yes",1,18,5,4,"No"
"159",754,0,"male",27,7,"yes",4,14,5,3,"No"
"175",823,0,"female",27,1.5,"no",2,18,6,5,"No"
"179",851,0,"female",32,7,"yes",4,16,1,3,"No"
"180",854,0,"female",37,15,"yes",4,14,5,4,"No"
"185",865,0,"female",22,0.417,"yes",3,14,3,5,"No"
"199",912,0,"male",52,15,"yes",4,14,6,2,"No"
"201",915,0,"male",32,4,"yes",5,14,3,5,"No"
"205",925,0,"female",22,7,"yes",2,14,5,2,"No"
"214",965,0,"male",27,0.75,"no",2,17,5,5,"No"
"218",990,0,"male",22,4,"no",4,17,5,3,"No"
"222",1021,0,"male",42,15,"yes",4,17,6,5,"No"
"224",1027,0,"male",22,1.5,"no",4,16,5,4,"No"
