"","rownames","affairs","gender","age","yearsmarried","children","religiousness","education","occupation","rating","affairs2"
"1",4,0,"male",37,10,"no",3,18,7,4,0
"2",5,0,"female",27,4,"no",4,14,6,4,0
"3",11,0,"female",32,15,"yes",1,12,1,4,0
"4",16,0,"male",57,15,"yes",5,18,6,5,0
"6",29,0,"female",32,1.5,"no",2,17,5,5,0
"7",44,0,"female",22,0.75,"no",2,12,1,3,0
"9",47,0,"female",32,15,"yes",4,16,1,2,0
"10",49,0,"male",22,1.5,"no",4,14,4,5,0
"11",50,0,"male",37,15,"yes",2,20,7,2,0
"12",55,0,"male",27,4,"yes",4,18,6,4,0
"13",64,0,"male",47,15,"yes",5,17,6,4,0
"15",86,0,"female",27,4,"no",4,14,5,4,0
"16",93,0,"female",37,15,"yes",1,17,5,5,0
"17",108,0,"female",37,15,"yes",2,18,4,3,0
"19",115,0,"female",22,1.5,"no",2,16,5,5,0
"20",116,0,"female",27,10,"yes",2,14,1,5,0
"21",123,0,"female",22,1.5,"no",2,16,5,5,0
"23",129,0,"female",27,10,"yes",4,16,5,4,0
"24",134,0,"female",32,10,"yes",3,14,1,5,0
"25",137,0,"male",37,4,"yes",2,20,6,4,0
"27",147,0,"female",27,7,"no",4,16,1,5,0
"28",151,0,"male",42,15,"yes",5,20,6,4,0
"30",155,0,"female",27,4,"yes",3,17,5,4,0
"32",163,0,"female",22,1.5,"no",3,16,5,5,0
"33",165,0,"male",27,0.417,"no",4,17,6,4,0
"34",168,0,"female",42,15,"yes",5,14,5,4,0
"35",170,0,"male",32,4,"yes",1,18,6,4,0
"36",172,0,"female",22,1.5,"no",4,16,5,3,0
"38",187,0,"female",22,4,"no",4,17,5,5,0
"39",192,0,"male",22,1.5,"yes",1,14,3,5,0
"41",210,0,"male",32,10,"yes",5,20,6,5,0
"42",217,0,"male",52,15,"yes",5,18,6,3,0
"43",220,0,"female",22,0.417,"no",5,14,1,4,0
"44",224,0,"female",27,4,"yes",2,18,6,1,0
"45",227,0,"female",32,7,"yes",5,17,5,3,0
"46",228,0,"male",22,4,"no",3,16,5,5,0
"47",239,0,"female",27,7,"yes",4,18,6,5,0
"48",241,0,"female",42,15,"yes",2,18,5,4,0
"49",245,0,"male",27,1.5,"yes",4,16,3,5,0
"51",262,0,"female",22,0.75,"no",5,14,3,5,0
"52",265,0,"male",32,7,"yes",2,20,6,4,0
"53",267,0,"male",27,4,"yes",5,20,6,5,0
"54",269,0,"male",27,10,"yes",4,20,6,4,0
"57",290,0,"male",22,1.5,"yes",5,16,4,4,0
"59",293,0,"female",27,0.75,"no",4,17,5,4,0
"60",295,0,"male",32,10,"yes",4,20,6,4,0
"61",299,0,"female",47,15,"yes",5,14,7,2,0
"62",320,0,"male",37,10,"yes",3,20,6,4,0
"63",321,0,"female",22,0.75,"no",2,16,5,5,0
"64",324,0,"male",27,4,"no",2,18,4,5,0
"65",334,0,"male",32,7,"no",4,20,6,4,0
"66",351,0,"male",42,15,"yes",2,17,3,5,0
"67",355,0,"male",37,10,"yes",4,20,6,4,0
"69",362,0,"female",22,1.5,"no",5,16,5,5,0
"70",366,0,"female",27,1.5,"no",2,16,6,4,0
"71",370,0,"female",27,4,"no",3,17,5,5,0
"72",374,0,"female",32,10,"yes",5,14,4,5,0
"73",378,0,"female",22,0.125,"no",2,12,5,5,0
"74",381,0,"male",47,15,"yes",4,14,4,3,0
"75",382,0,"male",32,15,"yes",1,14,5,5,0
"76",383,0,"male",27,7,"yes",4,16,5,5,0
"77",384,0,"female",22,1.5,"yes",3,16,5,5,0
"79",403,0,"female",22,1.5,"no",3,16,5,5,0
"80",409,0,"male",57,15,"yes",2,14,7,2,0
"81",412,0,"male",17.5,1.5,"yes",3,18,6,5,0
"82",413,0,"male",57,15,"yes",4,20,6,5,0
"83",416,0,"female",22,0.75,"no",2,16,3,4,0
"84",418,0,"male",42,4,"no",4,17,3,3,0
"85",422,0,"female",22,1.5,"yes",4,12,1,5,0
"89",447,0,"female",22,1.5,"yes",3,14,1,5,0
"90",448,0,"female",37,15,"yes",3,14,1,4,0
"91",449,0,"female",32,15,"yes",4,14,3,4,0
"92",478,0,"male",37,10,"yes",2,14,5,3,0
"93",482,0,"male",37,10,"yes",4,16,5,4,0
"94",486,0,"male",57,15,"yes",5,20,5,3,0
"95",489,0,"male",27,0.417,"no",1,16,3,4,0
"96",490,0,"female",42,15,"yes",5,14,1,5,0
"98",492,0,"male",37,10,"yes",1,16,6,4,0
"100",508,0,"male",37,15,"yes",4,20,6,5,0
"101",509,0,"female",27,10,"yes",5,14,1,5,0
